馬番1,馬番2,馬単(1→2),馬単(2→1),馬連
1,2,112.0,190.0,75.2
1,3,25.3,41.5,16.8
1,4,4.4,5.7,2.6
1,5,68.9,116.1,46.1
1,6,83.5,141.2,56.0
1,7,36.5,60.8,24.3
1,8,145.9,248.0,98.0
1,9,48.9,82.0,32.7
1,10,126.8,215.3,85.1
1,11,67.6,114.0,45.3
1,12,17.7,28.5,11.7
1,13,30.6,50.7,20.4
1,14,47.8,80.0,31.9
1,15,23.5,38.4,15.5
1,16,49.2,82.4,32.9
2,3,1900.4,1838.6,996.8
2,4,327.3,250.6,151.4
2,5,5173.3,5142.5,2750.9
2,6,6271.3,6251.0,3339.3
2,7,2745.0,2691.2,1449.5
2,8,10958.9,10983.1,5851.2
2,9,3674.1,3629.1,1947.4
2,10,9523.1,9533.6,5081.8
2,11,5078.3,5046.6,2699.9
2,12,1330.3,1263.1,691.1
2,13,2301.6,2243.6,1211.9
2,14,3589.6,3543.9,1902.2
2,15,1763.1,1700.0,923.2
2,16,3695.2,3650.4,1958.8
3,4,71.5,56.6,33.7
3,5,1130.4,1161.4,611.0
3,6,1370.3,1411.8,741.7
3,7,599.8,607.8,322.0
3,8,2394.6,2480.5,1299.6
3,9,802.8,819.6,432.6
3,10,2080.8,2153.1,1128.7
3,11,1109.6,1139.8,599.7
3,12,290.7,285.3,153.6
3,13,502.9,506.7,269.2
3,14,784.3,800.4,422.5
3,15,385.3,384.0,205.1
3,16,807.4,824.4,435.1
4,5,154.1,200.0,92.8
4,6,186.8,243.1,112.7
4,7,81.7,104.7,49.0
4,8,326.3,427.2,197.3
4,9,109.4,141.2,65.7
4,10,283.6,370.8,171.4
4,11,151.2,196.3,91.1
4,12,39.6,49.1,23.4
4,13,68.5,87.3,40.9
4,14,106.9,137.8,64.2
4,15,52.5,66.1,31.2
4,16,110.0,142.0,66.1
5,6,3832.7,3843.1,2046.9
5,7,1677.6,1654.6,888.5
5,8,6697.6,6752.4,3586.6
5,9,2245.4,2231.2,1193.8
5,10,5820.0,5861.3,3115.0
5,11,3103.6,3102.7,1655.0
5,12,813.0,776.5,423.7
5,13,1406.6,1379.4,742.9
5,14,2193.8,2178.8,1166.0
5,15,1077.5,1045.2,565.9
5,16,2258.3,2244.3,1200.7
6,7,2039.2,2005.8,1078.6
6,8,8141.1,8185.6,4353.8
6,9,2729.4,2704.8,1449.1
6,10,7074.5,7105.3,3781.3
6,11,3772.5,3761.2,2009.0
6,12,988.2,941.4,514.3
6,13,1709.8,1672.1,901.7
6,14,2666.7,2641.2,1415.4
6,15,1309.8,1267.0,687.0
6,16,2745.1,2720.7,1457.5
7,8,3505.0,3582.9,1889.9
7,9,1175.1,1183.9,629.1
7,10,3045.8,3110.1,1641.4
7,11,1624.2,1646.3,872.1
7,12,425.5,412.0,223.3
7,13,736.1,731.9,391.5
7,14,1148.1,1156.1,614.4
7,15,563.9,554.6,298.2
7,16,1181.8,1190.9,632.7
8,9,4795.6,4726.5,2539.1
8,10,12430.0,12416.4,6625.7
8,11,6628.4,6572.6,3520.2
8,12,1736.3,1645.0,901.0
8,13,3004.1,2922.0,1580.0
8,14,4685.4,4615.5,2480.1
8,15,2301.3,2214.1,1203.7
8,16,4823.2,4754.3,2553.9
9,10,4107.2,4162.7,2205.2
9,11,2190.2,2203.5,1171.7
9,12,573.7,551.5,299.9
9,13,992.7,979.6,525.9
9,14,1548.2,1547.4,825.5
9,15,760.4,742.3,400.7
9,16,1593.7,1593.9,850.0
10,11,5753.6,5711.5,3057.3
10,12,1507.2,1429.5,782.6
10,13,2607.7,2539.2,1372.3
10,14,4067.0,4010.7,2154.0
10,15,1997.6,1924.0,1045.4
10,16,4186.6,4131.4,2218.0
11,12,797.8,762.3,415.8
11,13,1380.4,1354.0,729.1
11,14,2152.9,2138.8,1144.4
11,15,1057.4,1026.0,555.5
11,16,2216.2,2203.1,1178.5
12,13,345.5,354.7,186.7
12,14,538.8,560.3,293.0
12,15,264.7,268.8,142.2
12,16,554.7,577.1,301.7
13,14,957.1,969.3,513.7
13,15,470.1,465.0,249.4
13,16,985.3,998.5,529.0
14,15,742.6,725.2,391.4
14,16,1556.3,1557.3,830.3
15,16,746.6,764.9,403.0
