着順,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人気,馬体重,調教師,馬主,賞金
,番,番,,,,,,,,,,,,,（万円）
1,1,1,イナリワン,牡6,58,武豊,03:18.8,,13-13-8-4,9.3,4,452(+8),[東]鈴木清,保手浜弘規,"10,300.00"
2,7,13,ミスターシクレノン,牡5,58,河内洋,03:19.6,5,3-3-2-2,148.7,16,494(0),[西]小林稔,藤立啓一,"4,100.00"
3,2,4,スルーオダイナ,牡6,58,岡部幸雄,03:20.2,3.1/2,9-7-7-6,3,1,458(0),[東]矢野進,社台レースホース,"2,600.00"
4,4,8,ワコーリューオー,牡5,58,南井克巳,03:20.2,ハナ,13-11-13-10,42.5,11,552(+4),[西]伊藤雄二,石田隆夫,"1,500.00"
5,8,16,ランニングフリー,牡7,58,菅原泰夫,03:20.3,1月2日,7-7-3-1,3.1,2,446(-10),[東]本郷一彦,藤島泰輔,"1,030.00"
6,5,9,チュニカオー,牡5,58,田原成貴,03:20.3,クビ,3-3-3-5,25.2,8,490(-4),[西]谷八郎,北條三郎,
7,1,2,マウントニゾン,牡7,58,東信二,03:20.4,1月2日,18-18-13-13,66.9,13,446(0),[東]森安弘昭,エヌ・エフホース,
8,5,10,ウェルネス,牡5,58,丸山勝秀,03:20.4,ハナ,16-15-15-10,149,17,466(+4),[西]渡辺栄,社台レースホース,
9,3,5,ミヤマポピー,牝5,56,松田幸春,03:20.7,1.3/4,16-15-3-2,33.6,10,422(-6),[西]松田由太,大宮良吾,
10,7,14,プレジデントシチー,牡7,58,村本善之,03:20.7,クビ,5-5-8-6,121.2,14,490(+4),[西]中尾謙太,友駿ホースクラブ,
11,3,6,ゴールドシチー,牡6,58,本田優,03:21.0,1.3/4,9-7-8-13,11.6,6,496(-10),[西]清水出美,友駿ホースクラブ,
12,7,15,コクサイトリプル,牡5,58,柴田政人,03:21.0,クビ,12-13-12-10,7.6,3,510(-4),[東]稗田敏男,芦部博子,
13,4,7,カゲマル,牡5,58,田面木博,03:22.3,8,9-7-8-15,143.9,15,466(+6),[東]高松邦男,貞文,
14,6,12,センシュオーカン,牡5,58,松永幹夫,03:22.4,1月2日,5-5-3-6,45.5,12,450(-4),[東]大久保洋,大原詔宏,
15,8,17,ナムラモノノフ,牡5,58,岡冨俊一,03:22.7,2,7-11-16-16,25.5,9,472(+6),[西]野村彰彦,奈村信重,
16,2,3,ダイナカーペンター,牡6,58,加用正,03:24.3,10,1-1-1-6,21.4,7,474(+6),[西]増本豊,社台レースホース,
17,8,18,ミホノカザン,牡8,58,西浦勝一,03:26.4,大,2-2-18-17,179.4,18,514(-10),[東]山岡浩久,堤勘時,
中,6,11,カツノコバン,牡6,58,久保敏文,,,15-15-16,9.8,5,510(-6),[西]松田博資,大高倉治,
