着,枠,馬,馬名,性齢,斤量,騎手,タイム,着差,通過,単勝,人,馬体重,調教師,馬主,賞金
順,番,番,,,,,,,,,気,,,,(万円)
,,,,,,,,,,,,,,,
1,3,5,バンブービギン,牡4,57,南井克巳,03:07.7,,6-4-3-3,3.8,1,490(0),[西]?布施正,竹田辰一,"9,300.00"
2,2,3,レインボーアンバー,牡4,57,加用正,03:07.9,1.1/2,2-2-2-2,8.8,4,504(+10),[東]?鈴木勝太,イーデン産業,"3,700.00"
3,4,8,リアルバースデー,牡4,57,菅原泰夫,03:08.0,3/4,6-4-6-6,9.1,5,458(+4),[東]?佐藤林次,社台レースホース,"2,300.00"
4,1,1,マルセイグレート,牡4,57,武豊,03:08.1,クビ,1-1-1-1,23.8,10,468(-2),[西]?伊藤修司,村上義勝,"1,400.00"
5,8,18,サクラホクトオー,牡4,57,小島太,03:08.1,アタマ,11-11-10-10,11.6,7,446(+4),[東]?境勝太郎,さくらコマース,930
6,3,6,ロングシンホニー,牡4,57,河内洋,03:08.3,1.1/4,10-8-6-7,10.9,6,466(-6),[西]?小林稔,中井長一,
7,7,15,ファストバロン,牡4,57,村本善之,03:08.5,1.1/4,4-4-3-3,21.1,9,486(+4),[西]?田中耕太,天野文甫,
8,8,16,スダビート,牡4,57,柴田政人,03:08.5,アタマ,17-17-16-12,14.9,8,454(-2),[東]?嶋田功,須田松夫,
9,6,12,スピークリーズン,牡4,57,安田富男,03:08.6,1/2,14-13-10-10,31.3,12,444(0),[東]?尾形充弘,竹崎満,
10,7,14,ウィナーズサークル,牡4,57,郷原洋行,03:08.7,1/2,8-8-6-7,4.1,2,496(+16),[東]?松山康久,栗山博,
11,2,4,オースミシャダイ,牡4,57,松永昌博,03:08.7,アタマ,8-8-6-7,165,14,460(+4),[西]?武邦彦,山路秀則,
12,7,13,オサイチジョージ,牡4,57,西浦勝一,03:09.0,2,3-2-3-3,5.7,3,484(+4),[西]?土門一美,野出長一,
13,4,7,モガミサイババ,牡4,57,松永幹夫,03:09.0,アタマ,15-15-16-16,29.3,11,500(0),[西]?中村好夫,最上ホースクラブ,
14,8,17,ケージーエース,牡4,57,石橋守,03:09.1,3/4,18-17-14-12,453.2,18,452(+4),[西]?境直行,丸山隆雄,
15,5,10,サツキオアシス,牡4,57,田原成貴,03:09.2,1/2,15-15-14-12,57.3,13,564(+8),[西]?谷八郎,北村政也,
16,6,11,ニシノサムタイム,牡4,57,増井裕,03:09.4,1,11-13-16-16,351.2,17,444(0),[西]?長浜博之,西山正行,
17,1,2,ドウカンホープ,牡4,57,芹沢純一,03:09.6,1.1/4,4-4-10-12,259.2,15,440(0),[西]?鹿戸明,新井興業,
18,5,9,アテンションリバー,牡4,57,宮徹,03:09.7,1/2,11-11-10-16,314.6,16,470(-6),[西]?古川平,美浦商事,
